,precision,recall,f1-score,support
0,0.9230769230769231,0.9230769230769231,0.9230769230769231,273.0
1,0.5531914893617021,0.5531914893617021,0.5531914893617021,47.0
accuracy,0.86875,0.86875,0.86875,0.86875
macro avg,0.7381342062193126,0.7381342062193126,0.7381342062193126,320.0
weighted avg,0.86875,0.86875,0.86875,320.0
