,precision,recall,f1-score,support
0,0.9295774647887324,0.967032967032967,0.947935368043088,273.0
1,0.75,0.574468085106383,0.6506024096385542,47.0
accuracy,0.909375,0.909375,0.909375,0.909375
macro avg,0.8397887323943662,0.770750526069675,0.799268888840821,320.0
weighted avg,0.9032020246478872,0.909375,0.904264589777422,320.0
