,precision,recall,f1-score,support
0,0.8844884488448845,0.9816849816849816,0.9305555555555555,273.0
1,0.7058823529411765,0.2553191489361702,0.37499999999999994,47.0
accuracy,0.875,0.875,0.875,0.875
macro avg,0.7951854008930306,0.6185020653105759,0.6527777777777777,320.0
weighted avg,0.8582556785090274,0.875,0.8489583333333333,320.0
